distancia_absoluta,distancia_movimento,classificacao,palavra_a,id_a,canal_a,palavra_b,id_b,canal_b
0.0,0.0,duplicata,levar,jj_2JTzuw50,Hellen Pereira Lima,trazer,jj_2JTzuw50,Hellen Pereira Lima
0.0,0.0,duplicata,trazer,X_sGUOYP880,alefer2012,trazer,vE04wlp6Agw,motivabrasil
3.8,11.1,mesmo_template,esperar,XppZHIsDuDI,Min e as mãozinhas,por-favor,3A4to--R6aE,Min e as mãozinhas
5.4,19.3,mesmo_template,quando,sT_UtRWc73w,motivabrasil,quando,z-pybYudVfM,radiobetel
11.4,19.8,mesmo_template,mostrar,mXYJIR_iiAk,LibrasLab,precisar,gcfIS2nsxps,LibrasLab
9.6,20.7,mesmo_template,nao,g5uLm2N0mY0,LibrasLab,precisar,gcfIS2nsxps,LibrasLab
